0          References for Cross Section of 34S36SO        
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S36SO       Total        2 branches
Lambda  Total   34S/36SO   36S/34SO
3143.5  1.340E-18  6.700E-19  6.700E-19
3147.5  1.250E-18  6.250E-19  6.250E-19
3151.5  1.160E-18  5.800E-19  5.800E-19
3155.5  1.080E-18  5.400E-19  5.400E-19
3159.6  1.010E-18  5.050E-19  5.050E-19
3163.6  9.370E-19  4.685E-19  4.685E-19
3167.6  8.750E-19  4.375E-19  4.375E-19
3171.7  8.190E-19  4.095E-19  4.095E-19
3175.7  7.680E-19  3.840E-19  3.840E-19
3179.8  7.220E-19  3.610E-19  3.610E-19
3183.9  6.810E-19  3.405E-19  3.405E-19
3188  6.440E-19  3.220E-19  3.220E-19
3192.1  6.100E-19  3.050E-19  3.050E-19
3196.2  5.790E-19  2.895E-19  2.895E-19
3200.3  5.510E-19  2.755E-19  2.755E-19
3204.5  5.240E-19  2.620E-19  2.620E-19
3208.6  4.990E-19  2.495E-19  2.495E-19
3212.8  4.760E-19  2.380E-19  2.380E-19
3216.9  4.530E-19  2.265E-19  2.265E-19
3221.1  4.320E-19  2.160E-19  2.160E-19
3225.3  4.110E-19  2.055E-19  2.055E-19
3229.5  3.900E-19  1.950E-19  1.950E-19
3233.7  3.700E-19  1.850E-19  1.850E-19
3237.9  3.510E-19  1.755E-19  1.755E-19
3242.2  3.320E-19  1.660E-19  1.660E-19
3246.4  3.140E-19  1.570E-19  1.570E-19
3250.7  2.960E-19  1.480E-19  1.480E-19
3254.9  2.790E-19  1.395E-19  1.395E-19
3259.2  2.630E-19  1.315E-19  1.315E-19
3263.5  2.470E-19  1.235E-19  1.235E-19
3267.8  2.310E-19  1.155E-19  1.155E-19
3272.1  2.160E-19  1.080E-19  1.080E-19
3276.5  2.020E-19  1.010E-19  1.010E-19
3280.8  1.870E-19  9.350E-20  9.350E-20
3285.1  1.740E-19  8.700E-20  8.700E-20
3289.5  1.610E-19  8.050E-20  8.050E-20
3293.9  1.480E-19  7.400E-20  7.400E-20
3298.2  1.360E-19  6.800E-20  6.800E-20
3302.6  1.240E-19  6.200E-20  6.200E-20
3307  1.130E-19  5.650E-20  5.650E-20
3311.5  1.020E-19  5.100E-20  5.100E-20
3315.9  9.140E-20  4.570E-20  4.570E-20
3320.3  8.170E-20  4.085E-20  4.085E-20
3324.8  7.260E-20  3.630E-20  3.630E-20
3329.2  6.400E-20  3.200E-20  3.200E-20
3333.7  5.620E-20  2.810E-20  2.810E-20
3338.2  4.890E-20  2.445E-20  2.445E-20
3342.7  4.230E-20  2.115E-20  2.115E-20
3347.2  3.640E-20  1.820E-20  1.820E-20
3351.7  3.110E-20  1.555E-20  1.555E-20
3356.3  2.640E-20  1.320E-20  1.320E-20
3360.8  2.220E-20  1.110E-20  1.110E-20
3365.4  1.870E-20  9.350E-21  9.350E-21
3370  1.560E-20  7.800E-21  7.800E-21
3374.5  1.290E-20  6.450E-21  6.450E-21
3379.1  1.070E-20  5.350E-21  5.350E-21
3383.8  8.870E-21  4.435E-21  4.435E-21
3388.4  7.350E-21  3.675E-21  3.675E-21
3393  6.120E-21  3.060E-21  3.060E-21
3397.7  5.130E-21  2.565E-21  2.565E-21
3402.3  4.340E-21  2.170E-21  2.170E-21
3407  3.740E-21  1.870E-21  1.870E-21
3411.7  3.280E-21  1.640E-21  1.640E-21
3416.4  2.940E-21  1.470E-21  1.470E-21
3421.1  2.700E-21  1.350E-21  1.350E-21
3425.8  2.540E-21  1.270E-21  1.270E-21
3430.6  2.440E-21  1.220E-21  1.220E-21
3435.3  2.400E-21  1.200E-21  1.200E-21
3440.1  2.400E-21  1.200E-21  1.200E-21
3444.9  2.430E-21  1.215E-21  1.215E-21
3449.7  2.500E-21  1.250E-21  1.250E-21
3454.5  2.580E-21  1.290E-21  1.290E-21
3459.3  2.690E-21  1.345E-21  1.345E-21
3464.1  2.810E-21  1.405E-21  1.405E-21
3469  2.940E-21  1.470E-21  1.470E-21
3473.8  3.090E-21  1.545E-21  1.545E-21
3478.7  3.250E-21  1.625E-21  1.625E-21
3483.6  3.410E-21  1.705E-21  1.705E-21
3488.5  3.590E-21  1.795E-21  1.795E-21
3493.4  3.780E-21  1.890E-21  1.890E-21
3498.3  3.980E-21  1.990E-21  1.990E-21
3503.3  4.180E-21  2.090E-21  2.090E-21
3508.2  4.400E-21  2.200E-21  2.200E-21
3513.2  4.620E-21  2.310E-21  2.310E-21
3518.2  4.850E-21  2.425E-21  2.425E-21
3523.2  5.090E-21  2.545E-21  2.545E-21
3528.2  5.340E-21  2.670E-21  2.670E-21
3533.2  5.600E-21  2.800E-21  2.800E-21
3538.3  5.870E-21  2.935E-21  2.935E-21
3543.3  6.140E-21  3.070E-21  3.070E-21
3548.4  6.420E-21  3.210E-21  3.210E-21
3553.5  6.710E-21  3.355E-21  3.355E-21
3558.6  7.010E-21  3.505E-21  3.505E-21
3563.7  7.320E-21  3.660E-21  3.660E-21
3568.8  7.630E-21  3.815E-21  3.815E-21
3574  7.950E-21  3.975E-21  3.975E-21
3579.1  8.270E-21  4.135E-21  4.135E-21
3584.3  8.600E-21  4.300E-21  4.300E-21
3589.5  8.940E-21  4.470E-21  4.470E-21
3594.7  9.280E-21  4.640E-21  4.640E-21
3599.9  9.620E-21  4.810E-21  4.810E-21
3605.1  9.970E-21  4.985E-21  4.985E-21
3610.4  1.030E-20  5.150E-21  5.150E-21
3615.6  1.070E-20  5.350E-21  5.350E-21
3620.9  1.100E-20  5.500E-21  5.500E-21
3626.2  1.140E-20  5.700E-21  5.700E-21
3631.5  1.180E-20  5.900E-21  5.900E-21
3636.9  1.210E-20  6.050E-21  6.050E-21
3642.2  1.250E-20  6.250E-21  6.250E-21
3647.6  1.290E-20  6.450E-21  6.450E-21
3652.9  1.320E-20  6.600E-21  6.600E-21
3658.3  1.360E-20  6.800E-21  6.800E-21
3663.7  1.400E-20  7.000E-21  7.000E-21
3669.1  1.440E-20  7.200E-21  7.200E-21
3674.6  1.470E-20  7.350E-21  7.350E-21
3680  1.510E-20  7.550E-21  7.550E-21
3685.5  1.550E-20  7.750E-21  7.750E-21
3691  1.590E-20  7.950E-21  7.950E-21
3696.5  1.620E-20  8.100E-21  8.100E-21
3702  1.660E-20  8.300E-21  8.300E-21
3707.6  1.700E-20  8.500E-21  8.500E-21
3713.1  1.730E-20  8.650E-21  8.650E-21
3718.7  1.770E-20  8.850E-21  8.850E-21
3724.3  1.800E-20  9.000E-21  9.000E-21
3729.9  1.840E-20  9.200E-21  9.200E-21
