0          References for Cross Section of 34SO3        
Sander 2011
0 Branching ratio for 34SO3      Total        1 branches
Lambda Total 34SO2/O 
2116.5  4.11E-19  4.11E-19
2117  4.10E-19  4.10E-19
2117.5  4.08E-19  4.08E-19
2118  4.06E-19  4.06E-19
2118.5  4.05E-19  4.05E-19
2119  4.03E-19  4.03E-19
2119.5  4.02E-19  4.02E-19
2120  4.00E-19  4.00E-19
2120.5  3.98E-19  3.98E-19
2121  3.97E-19  3.97E-19
2121.5  3.95E-19  3.95E-19
2122  3.94E-19  3.94E-19
2122.5  3.92E-19  3.92E-19
2123  3.91E-19  3.91E-19
2123.5  3.89E-19  3.89E-19
2124  3.88E-19  3.88E-19
2124.5  3.86E-19  3.86E-19
2125  3.85E-19  3.85E-19
2125.5  3.83E-19  3.83E-19
2126  3.82E-19  3.82E-19
2126.5  3.80E-19  3.80E-19
2127  3.79E-19  3.79E-19
2127.5  3.77E-19  3.77E-19
2128  3.76E-19  3.76E-19
2128.5  3.74E-19  3.74E-19
2129  3.73E-19  3.73E-19
2129.5  3.71E-19  3.71E-19
2130  3.70E-19  3.70E-19
2130.5  3.68E-19  3.68E-19
2131  3.66E-19  3.66E-19
2131.5  3.65E-19  3.65E-19
2132  3.63E-19  3.63E-19
2132.5  3.62E-19  3.62E-19
2133  3.60E-19  3.60E-19
2133.5  3.59E-19  3.59E-19
2134  3.57E-19  3.57E-19
2134.5  3.56E-19  3.56E-19
2135  3.54E-19  3.54E-19
2135.5  3.53E-19  3.53E-19
2136  3.51E-19  3.51E-19
2136.5  3.50E-19  3.50E-19
2137  3.48E-19  3.48E-19
2137.5  3.47E-19  3.47E-19
2138  3.45E-19  3.45E-19
2138.5  3.44E-19  3.44E-19
2139  3.42E-19  3.42E-19
2139.5  3.41E-19  3.41E-19
2140  3.39E-19  3.39E-19
2140.5  3.38E-19  3.38E-19
2141  3.36E-19  3.36E-19
2141.5  3.35E-19  3.35E-19
2142  3.33E-19  3.33E-19
2142.5  3.32E-19  3.32E-19
2143  3.31E-19  3.31E-19
2143.5  3.29E-19  3.29E-19
2144  3.28E-19  3.28E-19
2144.5  3.26E-19  3.26E-19
2145  3.25E-19  3.25E-19
2145.5  3.24E-19  3.24E-19
2146  3.22E-19  3.22E-19
2146.5  3.21E-19  3.21E-19
2147  3.19E-19  3.19E-19
2147.5  3.18E-19  3.18E-19
2148  3.17E-19  3.17E-19
2148.5  3.15E-19  3.15E-19
2149  3.14E-19  3.14E-19
2149.5  3.12E-19  3.12E-19
2150  3.11E-19  3.11E-19
2150.5  3.10E-19  3.10E-19
2151  3.08E-19  3.08E-19
2151.5  3.07E-19  3.07E-19
2152  3.05E-19  3.05E-19
2152.5  3.04E-19  3.04E-19
2153  3.03E-19  3.03E-19
2153.5  3.01E-19  3.01E-19
2154  3.00E-19  3.00E-19
2154.5  2.98E-19  2.98E-19
2155  2.97E-19  2.97E-19
2155.5  2.96E-19  2.96E-19
2156  2.94E-19  2.94E-19
2156.5  2.93E-19  2.93E-19
2157  2.91E-19  2.91E-19
2157.5  2.90E-19  2.90E-19
2158  2.89E-19  2.89E-19
2158.5  2.87E-19  2.87E-19
2159  2.86E-19  2.86E-19
2159.5  2.84E-19  2.84E-19
2160  2.83E-19  2.83E-19
2160.5  2.82E-19  2.82E-19
2161  2.81E-19  2.81E-19
2161.5  2.79E-19  2.79E-19
2162  2.78E-19  2.78E-19
2162.5  2.77E-19  2.77E-19
2163  2.76E-19  2.76E-19
2163.5  2.74E-19  2.74E-19
2164  2.73E-19  2.73E-19
2164.5  2.72E-19  2.72E-19
2165  2.71E-19  2.71E-19
2165.5  2.69E-19  2.69E-19
2166  2.68E-19  2.68E-19
2166.5  2.67E-19  2.67E-19
2167  2.66E-19  2.66E-19
2167.5  2.64E-19  2.64E-19
2168  2.63E-19  2.63E-19
2168.5  2.62E-19  2.62E-19
2169  2.61E-19  2.61E-19
2169.5  2.59E-19  2.59E-19
2170  2.58E-19  2.58E-19
