0          References for Cross Section of 34SO        34S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1912.179347  1.01E-17  1.01E-17
1912.190579  3.66E-18  3.66E-18
1912.201162  5.74E-18  5.74E-18
1912.213248  9.87E-18  9.87E-18
1912.223376  1.07E-17  1.07E-17
1912.229423  5.45E-18  5.45E-18
1912.238034  1.22E-17  1.22E-17
1912.270318  3.40E-18  3.40E-18
1912.296366  1.38E-17  1.38E-17
1912.303589  1.45E-17  1.45E-17
1912.310188  1.11E-17  1.11E-17
1912.317458  2.10E-17  2.10E-17
1912.327458  1.22E-17  1.22E-17
1912.34252  7.69E-18  7.69E-18
1912.376003  4.11E-18  4.11E-18
1912.397466  5.39E-18  5.39E-18
1912.409883  6.37E-18  6.37E-18
1912.425714  7.63E-18  7.63E-18
1912.445827  5.23E-18  5.23E-18
1912.4587  1.14E-17  1.14E-17
1912.466844  4.62E-18  4.62E-18
1912.476925  4.12E-18  4.12E-18
1912.493785  8.26E-18  8.26E-18
1912.517376  3.52E-18  3.52E-18
1912.528032  5.04E-18  5.04E-18
1912.540929  1.21E-17  1.21E-17
1912.555519  9.16E-18  9.16E-18
1912.575723  4.86E-18  4.86E-18
1912.599143  4.23E-18  4.23E-18
1912.606109  2.05E-17  2.05E-17
1912.610935  1.81E-17  1.81E-17
1912.615577  1.92E-17  1.92E-17
1912.62135  7.44E-18  7.44E-18
1912.62979  8.74E-18  8.74E-18
1912.640843  5.04E-18  5.04E-18
1912.649355  7.57E-18  7.57E-18
1912.656253  1.42E-17  1.42E-17
1912.660979  1.19E-17  1.19E-17
1912.664448  9.06E-18  9.06E-18
1912.668174  3.54E-17  3.54E-17
1912.672388  4.30E-17  4.30E-17
1912.676744  9.17E-18  9.17E-18
1912.681484  3.05E-18  3.05E-18
1912.693154  3.43E-18  3.43E-18
1912.702137  1.00E-17  1.00E-17
1912.71457  3.98E-18  3.98E-18
1912.736892  8.22E-18  8.22E-18
1912.759776  9.53E-18  9.53E-18
1912.769042  1.28E-17  1.28E-17
1912.777893  1.55E-17  1.55E-17
1912.785556  4.60E-18  4.60E-18
1912.795572  1.38E-17  1.38E-17
1912.804626  1.13E-17  1.13E-17
1912.814926  1.86E-17  1.86E-17
1912.821947  6.01E-18  6.01E-18
1912.82799  1.36E-17  1.36E-17
1912.834651  1.75E-17  1.75E-17
1912.841168  8.87E-18  8.87E-18
1912.851534  7.13E-18  7.13E-18
1912.868296  5.33E-18  5.33E-18
