0          References for Cross Section of 32S32S34S        
           Frandsen., 2020 (No isotope)   
0 Branching ratio for 32S32S34S       Total        2 branches
Lambda  Total   32S/32S34S   34S/32S32S
3849.1  3.1500E-17  2.1000E-17  1.0500E-17
3855.1  3.0800E-17  2.0533E-17  1.0267E-17
3861.1  3.0200E-17  2.0133E-17  1.0067E-17
3867.1  2.9500E-17  1.9667E-17  9.8333E-18
3873.2  2.8800E-17  1.9200E-17  9.6000E-18
3879.2  2.8000E-17  1.8667E-17  9.3333E-18
3885.3  2.7300E-17  1.8200E-17  9.1000E-18
3891.4  2.6500E-17  1.7667E-17  8.8333E-18
3897.5  2.5600E-17  1.7067E-17  8.5333E-18
3903.7  2.4800E-17  1.6533E-17  8.2667E-18
3909.8  2.3900E-17  1.5933E-17  7.9667E-18
3916  2.3100E-17  1.5400E-17  7.7000E-18
3922.2  2.2200E-17  1.4800E-17  7.4000E-18
3928.4  2.1400E-17  1.4267E-17  7.1333E-18
3934.6  2.0500E-17  1.3667E-17  6.8333E-18
3940.9  1.9600E-17  1.3067E-17  6.5333E-18
3947.2  1.8800E-17  1.2533E-17  6.2667E-18
3953.5  1.7900E-17  1.1933E-17  5.9667E-18
3959.8  1.7100E-17  1.1400E-17  5.7000E-18
3966.1  1.6300E-17  1.0867E-17  5.4333E-18
3972.5  1.5600E-17  1.0400E-17  5.2000E-18
3978.8  1.4800E-17  9.8667E-18  4.9333E-18
3985.2  1.4100E-17  9.4000E-18  4.7000E-18
3991.6  1.3400E-17  8.9333E-18  4.4667E-18
3998.1  1.2700E-17  8.4667E-18  4.2333E-18
4004.5  1.2100E-17  8.0667E-18  4.0333E-18
4011  1.1500E-17  7.6667E-18  3.8333E-18
4017.5  1.0900E-17  7.2667E-18  3.6333E-18
4024  1.0300E-17  6.8667E-18  3.4333E-18
4030.6  9.7600E-18  6.5067E-18  3.2533E-18
4037.1  9.2400E-18  6.1600E-18  3.0800E-18
4043.7  8.7500E-18  5.8333E-18  2.9167E-18
4050.3  8.2700E-18  5.5133E-18  2.7567E-18
4056.9  7.8200E-18  5.2133E-18  2.6067E-18
4063.6  7.3900E-18  4.9267E-18  2.4633E-18
4070.3  6.9700E-18  4.6467E-18  2.3233E-18
4077  6.5700E-18  4.3800E-18  2.1900E-18
4083.7  6.1800E-18  4.1200E-18  2.0600E-18
4090.4  5.8100E-18  3.8733E-18  1.9367E-18
4097.2  5.4500E-18  3.6333E-18  1.8167E-18
4103.9  5.1100E-18  3.4067E-18  1.7033E-18
4110.7  4.7800E-18  3.1867E-18  1.5933E-18
4117.6  4.4700E-18  2.9800E-18  1.4900E-18
4124.4  4.1700E-18  2.7800E-18  1.3900E-18
4131.3  3.8800E-18  2.5867E-18  1.2933E-18
4138.2  3.6000E-18  2.4000E-18  1.2000E-18
4145.1  3.3400E-18  2.2267E-18  1.1133E-18
4152  3.0900E-18  2.0600E-18  1.0300E-18
4159  2.8500E-18  1.9000E-18  9.5000E-19
4166  2.6300E-18  1.7533E-18  8.7667E-19
4173  2.4100E-18  1.6067E-18  8.0333E-19
4180  2.2100E-18  1.4733E-18  7.3667E-19
4187.1  2.0200E-18  1.3467E-18  6.7333E-19
4194.2  1.8400E-18  1.2267E-18  6.1333E-19
4201.3  1.6700E-18  1.1133E-18  5.5667E-19
4208.4  1.5200E-18  1.0133E-18  5.0667E-19
4215.6  1.3700E-18  9.1333E-19  4.5667E-19
4222.8  1.2400E-18  8.2667E-19  4.1333E-19
4230  1.1100E-18  7.4000E-19  3.7000E-19
4237.2  9.9400E-19  6.6267E-19  3.3133E-19
4244.4  8.8800E-19  5.9200E-19  2.9600E-19
4251.7  7.9000E-19  5.2667E-19  2.6333E-19
4259  7.0100E-19  4.6733E-19  2.3367E-19
4266.3  6.2000E-19  4.1333E-19  2.0667E-19
4273.7  5.4600E-19  3.6400E-19  1.8200E-19
4281.1  4.8000E-19  3.2000E-19  1.6000E-19
4288.5  4.2000E-19  2.8000E-19  1.4000E-19
4295.9  3.6600E-19  2.4400E-19  1.2200E-19
4303.4  3.1900E-19  2.1267E-19  1.0633E-19
4310.8  2.7600E-19  1.8400E-19  9.2000E-20
4318.4  2.3800E-19  1.5867E-19  7.9333E-20
4325.9  2.0500E-19  1.3667E-19  6.8333E-20
4333.4  1.7500E-19  1.1667E-19  5.8333E-20
4341  1.5000E-19  1.0000E-19  5.0000E-20
4348.6  1.2700E-19  8.4667E-20  4.2333E-20
4356.3  1.0800E-19  7.2000E-20  3.6000E-20
4364  9.0800E-20  6.0533E-20  3.0267E-20
4371.6  7.6200E-20  5.0800E-20  2.5400E-20
4379.4  6.3600E-20  4.2400E-20  2.1200E-20
4387.1  5.2900E-20  3.5267E-20  1.7633E-20
4394.9  4.3700E-20  2.9133E-20  1.4567E-20
4402.7  3.5900E-20  2.3933E-20  1.1967E-20
4410.5  2.9400E-20  1.9600E-20  9.8000E-21
4418.4  2.3900E-20  1.5933E-20  7.9667E-21
4426.3  1.9300E-20  1.2867E-20  6.4333E-21
4434.2  1.5500E-20  1.0333E-20  5.1667E-21
4442.1  1.2400E-20  8.2667E-21  4.1333E-21
4450.1  9.8000E-21  6.5333E-21  3.2667E-21
4458.1  7.7100E-21  5.1400E-21  2.5700E-21
4466.1  6.0300E-21  4.0200E-21  2.0100E-21
4474.2  4.6700E-21  3.1133E-21  1.5567E-21
4482.3  3.6000E-21  2.4000E-21  1.2000E-21
4490.4  2.7500E-21  1.8333E-21  9.1667E-22
4498.5  2.0800E-21  1.3867E-21  6.9333E-22
4506.7  1.5600E-21  1.0400E-21  5.2000E-22
4514.9  1.1700E-21  7.8000E-22  3.9000E-22
4523.2  8.6200E-22  5.7467E-22  2.8733E-22
4531.4  6.3100E-22  4.2067E-22  2.1033E-22
4539.7  4.5900E-22  3.0600E-22  1.5300E-22
4548  3.3000E-22  2.2000E-22  1.1000E-22
4556.4  2.3600E-22  1.5733E-22  7.8667E-23
4564.8  1.6700E-22  1.1133E-22  5.5667E-23
4573.2  1.1700E-22  7.8000E-23  3.9000E-23
4581.7  8.1000E-23  5.4000E-23  2.7000E-23
4590.1  5.6000E-23  3.7333E-23  1.8667E-23
4598.6  3.8000E-23  2.5333E-23  1.2667E-23
4607.2  2.6000E-23  1.7333E-23  8.6667E-24
4615.8  1.7000E-23  1.1333E-23  5.6667E-24
4624.4  1.1000E-23  7.3333E-24  3.6667E-24
4633  8.0000E-24  5.3333E-24  2.6667E-24
4641.7  5.0000E-24  3.3333E-24  1.6667E-24
4650.4  3.0000E-24  2.0000E-24  1.0000E-24
4659.1  2.0000E-24  1.3333E-24  6.6667E-25
4667.9  1.0000E-24  6.6667E-25  3.3333E-25
4676.7  1.0000E-24  6.6667E-25  3.3333E-25
