0          References for Cross Section of O32S32SO        
           Frandsen et al., 2020 (cis-OSSO-No isotope)   
0 Branching ratio for O32S32SO       Total        1 branch
Lambda  Total   32SO/32SO
3665.6  6.70663E-18  6.70663E-18
3671  6.46166E-18  6.46166E-18
3676.4  6.22291E-18  6.22291E-18
3681.9  5.99058E-18  5.99058E-18
3687.4  5.76478E-18  5.76478E-18
3692.9  5.54551E-18  5.54551E-18
3698.4  5.33270E-18  5.33270E-18
3703.9  5.12614E-18  5.12614E-18
3709.4  4.92555E-18  4.92555E-18
3715  4.73057E-18  4.73057E-18
3720.6  4.54076E-18  4.54076E-18
3726.2  4.35570E-18  4.35570E-18
3731.8  4.17492E-18  4.17492E-18
3737.4  3.99801E-18  3.99801E-18
3743  3.82458E-18  3.82458E-18
3748.7  3.65432E-18  3.65432E-18
3754.4  3.48700E-18  3.48700E-18
3760.1  3.32251E-18  3.32251E-18
3765.8  3.16079E-18  3.16079E-18
3771.5  3.00190E-18  3.00190E-18
3777.2  2.84599E-18  2.84599E-18
3783  2.69328E-18  2.69328E-18
3788.8  2.54404E-18  2.54404E-18
3794.6  2.39860E-18  2.39860E-18
3800.4  2.25731E-18  2.25731E-18
3806.2  2.12055E-18  2.12055E-18
3812.1  1.98867E-18  1.98867E-18
3818  1.86201E-18  1.86201E-18
3823.8  1.74089E-18  1.74089E-18
3829.7  1.62557E-18  1.62557E-18
3835.7  1.51629E-18  1.51629E-18
3841.6  1.41320E-18  1.41320E-18
3847.6  1.31640E-18  1.31640E-18
3853.6  1.22592E-18  1.22592E-18
3859.6  1.14175E-18  1.14175E-18
3865.6  1.06378E-18  1.06378E-18
3871.6  9.91854E-19  9.91854E-19
3877.7  9.25764E-19  9.25764E-19
3883.7  8.65240E-19  8.65240E-19
3889.8  8.09968E-19  8.09968E-19
3895.9  7.59596E-19  7.59596E-19
3902.1  7.13744E-19  7.13744E-19
3908.2  6.72007E-19  6.72007E-19
3914.4  6.33971E-19  6.33971E-19
3920.6  5.99217E-19  5.99217E-19
3926.8  5.67333E-19  5.67333E-19
3933  5.37919E-19  5.37919E-19
3939.3  5.10598E-19  5.10598E-19
3945.5  4.85016E-19  4.85016E-19
3951.8  4.60858E-19  4.60858E-19
3958.1  4.37839E-19  4.37839E-19
3964.4  4.15720E-19  4.15720E-19
3970.8  3.94298E-19  3.94298E-19
3977.2  3.73413E-19  3.73413E-19
3983.6  3.52947E-19  3.52947E-19
3990  3.32819E-19  3.32819E-19
3996.4  3.12983E-19  3.12983E-19
4002.8  2.93425E-19  2.93425E-19
4009.3  2.74156E-19  2.74156E-19
4015.8  2.55211E-19  2.55211E-19
4022.3  2.36641E-19  2.36641E-19
4028.9  2.18508E-19  2.18508E-19
4035.4  2.00882E-19  2.00882E-19
4042  1.83834E-19  1.83834E-19
4048.6  1.67436E-19  1.67436E-19
4055.2  1.51752E-19  1.51752E-19
4061.9  1.36842E-19  1.36842E-19
4068.5  1.22755E-19  1.22755E-19
4075.2  1.09530E-19  1.09530E-19
4081.9  9.71950E-20  9.71950E-20
4088.6  8.57640E-20  8.57640E-20
4095.4  7.52440E-20  7.52440E-20
4102.2  6.56270E-20  6.56270E-20
4109  5.68960E-20  5.68960E-20
4115.8  4.90260E-20  4.90260E-20
4122.6  4.19840E-20  4.19840E-20
4129.5  3.57290E-20  3.57290E-20
4136.4  3.02140E-20  3.02140E-20
4143.3  2.53900E-20  2.53900E-20
4150.2  2.12030E-20  2.12030E-20
4157.2  1.76000E-20  1.76000E-20
4164.2  1.45240E-20  1.45240E-20
4171.2  1.19210E-20  1.19210E-20
4178.2  9.73800E-21  9.73800E-21
4185.3  7.92300E-21  7.92300E-21
4192.3  6.42900E-21  6.42900E-21
4199.4  5.21100E-21  5.21100E-21
4206.6  4.22900E-21  4.22900E-21
4213.7  3.44500E-21  3.44500E-21
4220.9  2.82600E-21  2.82600E-21
4228.1  2.34500E-21  2.34500E-21
4235.3  1.97500E-21  1.97500E-21
4242.5  1.69700E-21  1.69700E-21
4249.8  1.49200E-21  1.49200E-21
4257.1  1.34500E-21  1.34500E-21
4264.4  1.24500E-21  1.24500E-21
4271.8  1.18100E-21  1.18100E-21
4279.2  1.14600E-21  1.14600E-21
4286.6  1.13400E-21  1.13400E-21
4294  1.14000E-21  1.14000E-21
4301.4  1.16100E-21  1.16100E-21
4308.9  1.19400E-21  1.19400E-21
4316.4  1.23600E-21  1.23600E-21
4323.9  1.28700E-21  1.28700E-21
4331.5  1.34500E-21  1.34500E-21
4339.1  1.40900E-21  1.40900E-21
4346.7  1.47700E-21  1.47700E-21
4354.3  1.55100E-21  1.55100E-21
4362  1.62700E-21  1.62700E-21
4369.6  1.70700E-21  1.70700E-21
4377.4  1.78800E-21  1.78800E-21
4385.1  1.87100E-21  1.87100E-21
4392.9  1.95500E-21  1.95500E-21
4400.7  2.03900E-21  2.03900E-21
4408.5  2.12200E-21  2.12200E-21
4416.3  2.20400E-21  2.20400E-21
4424.2  2.28400E-21  2.28400E-21
4432.1  2.36300E-21  2.36300E-21
4440.1  2.43900E-21  2.43900E-21
4448  2.51300E-21  2.51300E-21
4456  2.58500E-21  2.58500E-21
4464  2.65400E-21  2.65400E-21
4472.1  2.72000E-21  2.72000E-21
4480.2  2.78400E-21  2.78400E-21
4488.3  2.84600E-21  2.84600E-21
4496.4  2.90600E-21  2.90600E-21
4504.6  2.96400E-21  2.96400E-21
4512.8  3.02100E-21  3.02100E-21
4521  3.07600E-21  3.07600E-21
4529.3  3.12900E-21  3.12900E-21
4537.6  3.18100E-21  3.18100E-21
4545.9  3.23200E-21  3.23200E-21
4554.2  3.28100E-21  3.28100E-21
4562.6  3.32900E-21  3.32900E-21
4571  3.37500E-21  3.37500E-21
4579.5  3.42000E-21  3.42000E-21
4587.9  3.46200E-21  3.46200E-21
4596.4  3.50200E-21  3.50200E-21
4605  3.54100E-21  3.54100E-21
4613.5  3.57700E-21  3.57700E-21
4622.1  3.61100E-21  3.61100E-21
4630.8  3.64300E-21  3.64300E-21
4639.4  3.67200E-21  3.67200E-21
4648.1  3.69900E-21  3.69900E-21
4656.9  3.72400E-21  3.72400E-21
4665.6  3.74600E-21  3.74600E-21
4674.4  3.76600E-21  3.76600E-21
4683.2  3.78400E-21  3.78400E-21
4692.1  3.79900E-21  3.79900E-21
4701  3.81100E-21  3.81100E-21
4709.9  3.81900E-21  3.81900E-21
4718.9  3.82400E-21  3.82400E-21
4727.9  3.82500E-21  3.82500E-21
4736.9  3.82200E-21  3.82200E-21
4746  3.81400E-21  3.81400E-21
4755.1  3.80000E-21  3.80000E-21
4764.2  3.78100E-21  3.78100E-21
4773.4  3.75700E-21  3.75700E-21
4782.6  3.72500E-21  3.72500E-21
4791.8  3.68800E-21  3.68800E-21
4801.1  3.64500E-21  3.64500E-21
4810.4  3.59600E-21  3.59600E-21
4819.8  3.54100E-21  3.54100E-21
4829.2  3.48100E-21  3.48100E-21
4838.6  3.41700E-21  3.41700E-21
4848.1  3.34800E-21  3.34800E-21
4857.6  3.27700E-21  3.27700E-21
4867.1  3.20200E-21  3.20200E-21
4876.7  3.12600E-21  3.12600E-21
4886.3  3.04900E-21  3.04900E-21
4895.9  2.97100E-21  2.97100E-21
4905.6  2.89400E-21  2.89400E-21
4915.3  2.81700E-21  2.81700E-21
4925.1  2.74100E-21  2.74100E-21
4934.9  2.66700E-21  2.66700E-21
4944.7  2.59400E-21  2.59400E-21
4954.6  2.52300E-21  2.52300E-21
4964.5  2.45400E-21  2.45400E-21
4974.5  2.38700E-21  2.38700E-21
4984.5  2.32200E-21  2.32200E-21
4994.5  2.25800E-21  2.25800E-21
