@var:T=Tgas
@var:invT=1d0/Tgas
@var:M=n(idx_M) 
@format:idx,R,R,R,P,P,rate

# SO + SO → SO₂ + S
392,32S32S34S36S,34S34S34S36S,M,34S8,M,4.46d-29
393,32S32S34S36S,34S34S36S36S,M,36S8,M,4.46d-29
394,32S32S34S36S,34S36S36S36S,M,36S8,M,4.46d-29
395,32S32S34S36S,36S36S36S36S,M,36S8,M,4.46d-29
396,32S32S36S36S,32S32S36S36S,M,36S8,M,2.23d-29
397,32S32S36S36S,32S33S33S33S,M,33S8,M,4.46d-29
398,32S32S36S36S,32S33S33S34S,M,32S8,M,4.46d-29
399,32S32S36S36S,32S33S33S36S,M,36S8,M,4.46d-29
400,32S32S36S36S,32S33S34S34S,M,32S8,M,4.46d-29
401,32S32S36S36S,32S33S34S36S,M,36S8,M,4.46d-29
402,32S32S36S36S,32S33S36S36S,M,36S8,M,4.46d-29
403,32S32S36S36S,32S34S34S34S,M,34S8,M,4.46d-29
404,32S32S36S36S,32S34S34S36S,M,36S8,M,4.46d-29
405,32S32S36S36S,32S34S36S36S,M,36S8,M,4.46d-29
