0          References for Cross Section of 32S32S        
           Sarka et al., 2023 (4 isotopes but 10 isotopes needed=>No isotope)   
0 Branching ratio for 32S32S       Total        1 branch
Lambda  Total   32S/32S
2239.817905  3.76E-20  3.76E-20
2239.827204  3.16E-20  3.16E-20
2239.83565  2.27E-20  2.27E-20
2239.846941  2.60E-20  2.60E-20
2239.860784  2.50E-20  2.50E-20
2239.885998  1.96E-20  1.96E-20
2239.918971  1.63E-20  1.63E-20
2239.932299  9.85E-21  9.85E-21
2239.945688  3.31E-20  3.31E-20
2239.955678  2.77E-20  2.77E-20
2239.963502  3.83E-20  3.83E-20
2239.976527  1.51E-20  1.51E-20
2239.998171  2.41E-20  2.41E-20
2240.020328  1.58E-20  1.58E-20
2240.03972  1.67E-20  1.67E-20
2240.050045  3.52E-20  3.52E-20
2240.063952  9.92E-21  9.92E-21
2240.083562  1.22E-20  1.22E-20
2240.09849  1.71E-20  1.71E-20
2240.107816  4.04E-20  4.04E-20
2240.116998  2.94E-20  2.94E-20
2240.134072  1.57E-20  1.57E-20
2240.160949  1.81E-20  1.81E-20
2240.19114  1.46E-20  1.46E-20
2240.230487  1.01E-20  1.01E-20
2240.258254  1.74E-20  1.74E-20
2240.281998  3.27E-20  3.27E-20
2240.292167  4.33E-20  4.33E-20
2240.301385  3.13E-20  3.13E-20
2240.312979  1.79E-20  1.79E-20
2240.321976  4.26E-20  4.26E-20
2240.328209  4.08E-20  4.08E-20
2240.335075  5.02E-20  5.02E-20
2240.343295  1.16E-20  1.16E-20
2240.362428  1.94E-20  1.94E-20
2240.450067  1.22E-20  1.22E-20
2240.461545  1.69E-20  1.69E-20
2240.468581  5.05E-20  5.05E-20
2240.477331  2.72E-20  2.72E-20
2240.502596  2.53E-20  2.53E-20
2240.519078  2.35E-20  2.35E-20
2240.530104  1.77E-20  1.77E-20
2240.539961  8.47E-21  8.47E-21
2240.549688  1.57E-20  1.57E-20
2240.555941  2.01E-20  2.01E-20
2240.561603  7.47E-20  7.47E-20
2240.569761  2.59E-20  2.59E-20
2240.581623  8.80E-21  8.80E-21
2240.596406  2.07E-20  2.07E-20
2240.613056  8.88E-21  8.88E-21
2240.625078  4.09E-20  4.09E-20
2240.631119  3.26E-20  3.26E-20
2240.636746  5.03E-20  5.03E-20
2240.641973  3.85E-20  3.85E-20
2240.647467  2.85E-20  2.85E-20
2240.656113  2.58E-20  2.58E-20
2240.672764  2.02E-20  2.02E-20
2240.693095  1.68E-20  1.68E-20
2240.703587  2.56E-20  2.56E-20
2240.709147  5.35E-20  5.35E-20
2240.715701  6.72E-20  6.72E-20
2240.723317  1.28E-20  1.28E-20
2240.752351  9.31E-21  9.31E-21
2240.769778  2.22E-20  2.22E-20
2240.782088  2.40E-20  2.40E-20
2240.823163  1.87E-20  1.87E-20
2240.849989  1.47E-20  1.47E-20
2240.861222  3.21E-20  3.21E-20
2240.869178  1.24E-20  1.24E-20
2240.874925  3.98E-20  3.98E-20
2240.879995  5.63E-20  5.63E-20
2240.884637  6.34E-20  6.34E-20
2240.889167  8.35E-20  8.35E-20
2240.894655  4.16E-20  4.16E-20
2240.902664  1.70E-20  1.70E-20
2240.920456  1.97E-20  1.97E-20
2240.946227  1.46E-20  1.46E-20
2240.966315  2.65E-20  2.65E-20
2240.976356  1.08E-20  1.08E-20
2240.985194  4.83E-20  4.83E-20
2240.996986  1.04E-20  1.04E-20
2241.028129  1.40E-20  1.40E-20
2241.07501  1.02E-20  1.02E-20
2241.095025  1.79E-20  1.79E-20
2241.107385  3.95E-20  3.95E-20
2241.116571  6.12E-20  6.12E-20
2241.124657  1.44E-20  1.44E-20
2241.132622  3.40E-20  3.40E-20
2241.145987  1.35E-20  1.35E-20
2241.171154  2.13E-20  2.13E-20
2241.2021  2.17E-20  2.17E-20
2241.214375  2.11E-20  2.11E-20
2241.225867  2.89E-20  2.89E-20
2241.238039  3.30E-20  3.30E-20
2241.249835  3.55E-20  3.55E-20
2241.259952  1.88E-20  1.88E-20
2241.268867  3.18E-20  3.18E-20
2241.28705  9.48E-21  9.48E-21
2241.313116  1.26E-20  1.26E-20
2241.328165  1.39E-20  1.39E-20
2241.347205  1.59E-20  1.59E-20
2241.367764  3.12E-20  3.12E-20
2241.382364  2.59E-20  2.59E-20
2241.394839  3.27E-20  3.27E-20
2241.405435  3.92E-20  3.92E-20
2241.414495  4.36E-20  4.36E-20
2241.428243  8.79E-21  8.79E-21
2241.459025  1.94E-20  1.94E-20
2241.514609  1.70E-20  1.70E-20
2241.525386  3.74E-20  3.74E-20
2241.534275  2.23E-20  2.23E-20
2241.547037  3.06E-20  3.06E-20
2241.564443  2.22E-20  2.22E-20
2241.578174  2.85E-20  2.85E-20
2241.596795  1.68E-20  1.68E-20
2241.620534  2.10E-20  2.10E-20
2241.653942  1.17E-20  1.17E-20
2241.668599  2.65E-20  2.65E-20
2241.676436  4.61E-20  4.61E-20
2241.68582  2.69E-20  2.69E-20
2241.699089  1.80E-20  1.80E-20
2241.720291  2.10E-20  2.10E-20
2241.741752  1.01E-20  1.01E-20
2241.755699  4.25E-20  4.25E-20
2241.766386  1.62E-20  1.62E-20
2241.778158  2.94E-20  2.94E-20
2241.789596  1.48E-20  1.48E-20
2241.827562  1.43E-20  1.43E-20
2241.871369  1.31E-20  1.31E-20
2241.895043  2.22E-20  2.22E-20
2241.910908  2.04E-20  2.04E-20
2241.93322  2.17E-20  2.17E-20
2241.948896  1.73E-20  1.73E-20
2241.958383  8.41E-20  8.41E-20
2241.966338  2.68E-20  2.68E-20
2241.973138  2.71E-20  2.71E-20
2241.983292  2.06E-20  2.06E-20
2241.993641  7.90E-21  7.90E-21
2242.005072  1.43E-20  1.43E-20
2242.014125  1.22E-20  1.22E-20
2242.02519  1.92E-20  1.92E-20
2242.037662  8.57E-21  8.57E-21
2242.049854  2.38E-20  2.38E-20
2242.066151  9.73E-21  9.73E-21
2242.080515  3.69E-20  3.69E-20
2242.088086  3.63E-20  3.63E-20
2242.095968  3.22E-20  3.22E-20
2242.106958  1.36E-20  1.36E-20
2242.120462  3.20E-20  3.20E-20
2242.13139  2.53E-20  2.53E-20
2242.140424  4.38E-20  4.38E-20
2242.148162  2.56E-20  2.56E-20
2242.156068  3.61E-20  3.61E-20
2242.164947  2.67E-20  2.67E-20
2242.180923  2.00E-20  2.00E-20
2242.194923  5.33E-20  5.33E-20
2242.20366  3.02E-20  3.02E-20
2242.210943  3.09E-20  3.09E-20
2242.219248  2.09E-20  2.09E-20
2242.227857  3.31E-20  3.31E-20
2242.240162  1.98E-20  1.98E-20
2242.250642  3.54E-20  3.54E-20
2242.271946  1.13E-20  1.13E-20
2242.316329  2.79E-20  2.79E-20
2242.33472  2.51E-20  2.51E-20
2242.362693  4.39E-20  4.39E-20
2242.37258  4.13E-20  4.13E-20
2242.383649  8.82E-21  8.82E-21
2242.402659  3.64E-20  3.64E-20
2242.413853  2.71E-20  2.71E-20
2242.423661  3.28E-20  3.28E-20
2242.436084  2.94E-20  2.94E-20
2242.460769  1.15E-20  1.15E-20
2242.473017  3.77E-20  3.77E-20
2242.483313  2.95E-20  2.95E-20
2242.492724  1.52E-20  1.52E-20
2242.501137  5.28E-20  5.28E-20
2242.510936  2.57E-20  2.57E-20
2242.53482  2.34E-20  2.34E-20
2242.550449  2.92E-20  2.92E-20
2242.558616  6.74E-20  6.74E-20
2242.567462  5.04E-20  5.04E-20
2242.57756  1.39E-20  1.39E-20
2242.6022  2.38E-20  2.38E-20
2242.630129  8.21E-21  8.21E-21
2242.643019  2.97E-20  2.97E-20
2242.650066  7.20E-20  7.20E-20
2242.657598  1.29E-20  1.29E-20
2242.673839  3.19E-20  3.19E-20
2242.68526  2.65E-20  2.65E-20
2242.696725  3.35E-20  3.35E-20
2242.740061  9.39E-21  9.39E-21
2242.774095  1.56E-20  1.56E-20
2242.813782  1.77E-20  1.77E-20
2242.830213  5.47E-20  5.47E-20
2242.838592  2.21E-20  2.21E-20
2242.850052  5.01E-20  5.01E-20
2242.863261  3.00E-20  3.00E-20
2242.87498  2.96E-20  2.96E-20
2242.882566  2.41E-20  2.41E-20
2242.889374  4.41E-20  4.41E-20
2242.896943  4.58E-20  4.58E-20
2242.906875  3.26E-20  3.26E-20
2242.928846  1.82E-20  1.82E-20
2242.946941  2.29E-20  2.29E-20
2242.958613  1.81E-20  1.81E-20
2242.973508  9.20E-21  9.20E-21
2242.98806  3.50E-20  3.50E-20
2243.00202  1.95E-20  1.95E-20
2243.02786  2.00E-20  2.00E-20
2243.068465  1.14E-20  1.14E-20
2243.111746  1.34E-20  1.34E-20
2243.146326  3.63E-20  3.63E-20
2243.157162  1.48E-20  1.48E-20
2243.166343  5.04E-20  5.04E-20
2243.174438  5.73E-20  5.73E-20
