0          References for Cross Section of O2        Total   
O2_Ackerman(1970)_300K_176-201nm
O2_Cheung(1986)_296-300K_195-241nm                                       
O2_JPL-2010(2011)_298K_205-245nm(rec)
O2_Bogumil(2003)_293K_235-389nm                                                    
0 Branching ratio for O2       Total        1 branch
 Lambda  Total   O/O      
2903.936  3.80E-25  3.80E-25
2905.039  3.60E-25  3.60E-25
2906.142  3.67E-25  3.67E-25
2907.245  3.73E-25  3.73E-25
2908.348  3.65E-25  3.65E-25
2909.451  3.63E-25  3.63E-25
2910.554  3.55E-25  3.55E-25
2911.657  3.82E-25  3.82E-25
2912.76  3.61E-25  3.61E-25
2913.862  3.40E-25  3.40E-25
2914.965  3.50E-25  3.50E-25
2916.067  3.77E-25  3.77E-25
2917.17  3.54E-25  3.54E-25
2918.272  3.33E-25  3.33E-25
2919.374  3.32E-25  3.32E-25
2920.476  3.50E-25  3.50E-25
2921.579  3.55E-25  3.55E-25
2922.681  3.63E-25  3.63E-25
2923.783  3.48E-25  3.48E-25
2924.885  3.41E-25  3.41E-25
2925.987  3.42E-25  3.42E-25
2927.088  3.48E-25  3.48E-25
2928.19  3.41E-25  3.41E-25
2929.292  3.36E-25  3.36E-25
2930.393  3.36E-25  3.36E-25
2931.495  3.24E-25  3.24E-25
2932.597  3.43E-25  3.43E-25
2933.698  3.30E-25  3.30E-25
2934.8  3.20E-25  3.20E-25
2935.901  3.24E-25  3.24E-25
2937.002  3.27E-25  3.27E-25
2938.103  2.94E-25  2.94E-25
2939.205  2.93E-25  2.93E-25
2940.306  2.81E-25  2.81E-25
2941.407  2.97E-25  2.97E-25
2942.508  3.12E-25  3.12E-25
2943.609  3.15E-25  3.15E-25
2944.71  3.32E-25  3.32E-25
2945.811  3.15E-25  3.15E-25
2946.912  3.29E-25  3.29E-25
2948.013  3.54E-25  3.54E-25
2949.113  3.21E-25  3.21E-25
2950.214  3.28E-25  3.28E-25
2951.315  3.26E-25  3.26E-25
2952.415  3.22E-25  3.22E-25
2953.516  3.22E-25  3.22E-25
2954.616  3.39E-25  3.39E-25
2955.717  3.18E-25  3.18E-25
2956.817  3.18E-25  3.18E-25
2957.918  3.18E-25  3.18E-25
2959.018  3.05E-25  3.05E-25
2960.118  2.93E-25  2.93E-25
2961.219  3.05E-25  3.05E-25
2962.319  3.27E-25  3.27E-25
2963.419  3.12E-25  3.12E-25
2964.519  3.18E-25  3.18E-25
2965.619  3.14E-25  3.14E-25
2966.719  3.17E-25  3.17E-25
2967.819  3.33E-25  3.33E-25
2968.919  3.21E-25  3.21E-25
2970.019  3.38E-25  3.38E-25
2971.119  3.45E-25  3.45E-25
2972.219  3.37E-25  3.37E-25
2973.319  3.31E-25  3.31E-25
2974.419  3.27E-25  3.27E-25
2975.518  3.03E-25  3.03E-25
2976.618  3.13E-25  3.13E-25
2977.718  3.03E-25  3.03E-25
2978.817  2.90E-25  2.90E-25
2979.917  2.96E-25  2.96E-25
2981.016  2.80E-25  2.80E-25
2982.116  2.88E-25  2.88E-25
2983.215  2.75E-25  2.75E-25
2984.315  2.99E-25  2.99E-25
2985.414  3.01E-25  3.01E-25
2986.513  2.95E-25  2.95E-25
2987.613  3.02E-25  3.02E-25
2988.712  2.83E-25  2.83E-25
2989.811  3.17E-25  3.17E-25
2990.91  3.23E-25  3.23E-25
2992.01  3.08E-25  3.08E-25
2993.109  2.97E-25  2.97E-25
2994.208  2.97E-25  2.97E-25
2995.307  3.08E-25  3.08E-25
2996.406  3.04E-25  3.04E-25
2997.505  3.23E-25  3.23E-25
2998.604  3.19E-25  3.19E-25
2999.703  3.03E-25  3.03E-25
3000.801  2.94E-25  2.94E-25
3001.9  2.92E-25  2.92E-25
3002.999  3.02E-25  3.02E-25
3004.098  3.04E-25  3.04E-25
3005.196  3.04E-25  3.04E-25
3006.295  3.35E-25  3.35E-25
3007.393  2.95E-25  2.95E-25
3008.492  3.01E-25  3.01E-25
3009.591  3.18E-25  3.18E-25
3010.689  3.03E-25  3.03E-25
3011.787  2.99E-25  2.99E-25
3012.886  3.33E-25  3.33E-25
3013.984  3.17E-25  3.17E-25
3015.082  2.75E-25  2.75E-25
3016.181  3.07E-25  3.07E-25
3017.279  3.23E-25  3.23E-25
3018.377  3.11E-25  3.11E-25
3019.475  2.92E-25  2.92E-25
3020.573  3.09E-25  3.09E-25
3021.671  3.23E-25  3.23E-25
3022.769  3.03E-25  3.03E-25
3023.867  3.06E-25  3.06E-25
3024.965  3.07E-25  3.07E-25
3026.063  2.90E-25  2.90E-25
3027.16  3.10E-25  3.10E-25
3028.258  3.20E-25  3.20E-25
3029.356  2.93E-25  2.93E-25
3030.453  2.68E-25  2.68E-25
3031.551  2.87E-25  2.87E-25
3032.648  2.94E-25  2.94E-25
3033.746  2.86E-25  2.86E-25
3034.843  2.71E-25  2.71E-25
3035.94  2.78E-25  2.78E-25
3037.038  2.77E-25  2.77E-25
3038.135  2.50E-25  2.50E-25
3039.232  2.32E-25  2.32E-25
3040.329  2.59E-25  2.59E-25
3041.426  2.58E-25  2.58E-25
3042.523  2.72E-25  2.72E-25
3043.62  2.44E-25  2.44E-25
3044.717  2.50E-25  2.50E-25
3045.814  2.70E-25  2.70E-25
3046.91  2.69E-25  2.69E-25
3048.007  2.61E-25  2.61E-25
3049.104  2.97E-25  2.97E-25
3050.2  2.67E-25  2.67E-25
3051.296  2.75E-25  2.75E-25
3052.393  2.84E-25  2.84E-25
3053.489  2.61E-25  2.61E-25
3054.585  2.64E-25  2.64E-25
3055.681  3.00E-25  3.00E-25
3056.777  2.95E-25  2.95E-25
3057.873  2.96E-25  2.96E-25
3058.969  2.81E-25  2.81E-25
3060.065  2.74E-25  2.74E-25
3061.161  2.73E-25  2.73E-25
3062.257  2.75E-25  2.75E-25
3063.352  2.82E-25  2.82E-25
3064.448  2.89E-25  2.89E-25
3065.543  2.89E-25  2.89E-25
3066.638  2.59E-25  2.59E-25
3067.734  2.80E-25  2.80E-25
3068.829  2.63E-25  2.63E-25
3069.924  2.65E-25  2.65E-25
3071.019  3.10E-25  3.10E-25
3072.114  2.84E-25  2.84E-25
3073.208  2.88E-25  2.88E-25
3074.303  2.69E-25  2.69E-25
3075.398  2.98E-25  2.98E-25
3075.696  3.26E-25  3.26E-25
3076.851  3.70E-25  3.70E-25
3078.005  3.33E-25  3.33E-25
3079.159  3.50E-25  3.50E-25
3080.314  4.03E-25  4.03E-25
3081.468  3.83E-25  3.83E-25
3082.621  3.68E-25  3.68E-25
3083.775  4.17E-25  4.17E-25
3084.929  4.02E-25  4.02E-25
3086.082  4.35E-25  4.35E-25
3087.235  3.69E-25  3.69E-25
3088.388  3.57E-25  3.57E-25
3089.541  3.55E-25  3.55E-25
3090.693  3.59E-25  3.59E-25
3091.845  3.93E-25  3.93E-25
3092.998  4.06E-25  4.06E-25
3094.15  3.95E-25  3.95E-25
3095.301  3.76E-25  3.76E-25
3096.453  3.60E-25  3.60E-25
3097.604  3.75E-25  3.75E-25
3098.756  3.73E-25  3.73E-25
3099.907  4.10E-25  4.10E-25
3101.057  3.81E-25  3.81E-25
3102.208  3.57E-25  3.57E-25
3103.359  3.43E-25  3.43E-25
3104.509  3.38E-25  3.38E-25
3105.659  3.38E-25  3.38E-25
3106.809  3.55E-25  3.55E-25
3107.958  3.51E-25  3.51E-25
3109.108  3.80E-25  3.80E-25
3110.257  3.70E-25  3.70E-25
3111.406  3.43E-25  3.43E-25
3112.555  3.92E-25  3.92E-25
3113.704  3.95E-25  3.95E-25
3114.852  3.62E-25  3.62E-25
3116.001  3.49E-25  3.49E-25
3117.149  3.26E-25  3.26E-25
3118.297  3.22E-25  3.22E-25
3119.444  3.36E-25  3.36E-25
