0          References for Cross Section of 34SO        32S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1912.318706  7.86E-18  7.86E-18
1912.327419  1.72E-17  1.72E-17
1912.335941  3.32E-18  3.32E-18
1912.344198  1.62E-17  1.62E-17
1912.351765  1.89E-17  1.89E-17
1912.362247  4.84E-18  4.84E-18
1912.375693  8.75E-18  8.75E-18
1912.388185  4.71E-18  4.71E-18
1912.406689  1.31E-17  1.31E-17
1912.417106  1.12E-17  1.12E-17
1912.426411  4.46E-18  4.46E-18
1912.435771  1.23E-17  1.23E-17
1912.441499  9.98E-18  9.98E-18
1912.447264  3.43E-17  3.43E-17
1912.454442  7.68E-18  7.68E-18
1912.469652  2.83E-18  2.83E-18
1912.480844  1.16E-17  1.16E-17
1912.488919  2.33E-17  2.33E-17
1912.498893  3.06E-18  3.06E-18
1912.509813  1.28E-17  1.28E-17
1912.52138  3.84E-18  3.84E-18
1912.53299  1.60E-17  1.60E-17
1912.544916  4.04E-18  4.04E-18
1912.560216  1.19E-17  1.19E-17
1912.569849  1.25E-17  1.25E-17
1912.578109  2.03E-17  2.03E-17
1912.586447  1.64E-17  1.64E-17
1912.595583  2.99E-18  2.99E-18
1912.603124  1.56E-17  1.56E-17
1912.610132  8.68E-18  8.68E-18
1912.616143  6.10E-18  6.10E-18
1912.625185  4.96E-18  4.96E-18
1912.633505  6.16E-18  6.16E-18
1912.64345  1.35E-17  1.35E-17
1912.6727  6.09E-18  6.09E-18
1912.69442  8.37E-18  8.37E-18
1912.700808  2.65E-17  2.65E-17
1912.707429  2.75E-17  2.75E-17
1912.713506  1.28E-17  1.28E-17
1912.724787  7.99E-18  7.99E-18
1912.740701  3.14E-18  3.14E-18
1912.75424  2.83E-18  2.83E-18
1912.768172  1.25E-17  1.25E-17
1912.779168  6.20E-18  6.20E-18
1912.801705  6.44E-18  6.44E-18
1912.815833  1.26E-17  1.26E-17
1912.824165  2.12E-17  2.12E-17
